#separator:tab
#html:true
#guid column:1
#tags column:8
kcxnJQ`uQu	kanji	ja_on	ja_kun	meaning	examples		
b??$h_1/(g	両	リョウ		both; counter for carriages/cars (e.g., in a train)	両替 (りょうがえ) money exchange<br>両方 (りょうほう) both; both sides<br>両親 (りょうしん) both parents		
NekU6(E,?c	予	ヨ		beforehand; previous; I; myself	予報 (よほう) forecast; prediction<br>予期 (よき) expectation; assumption<br>予測 (よそく) estimation<br>予算 (よさん) estimate; budget<br>予約制 (よやくせい) by reservation		
DM$<.K[$.e	争	ソウ	あらそ・う	argue; contend; dispute	論争 (ろんそう) dispute; controversy<br>戦争 (せんそう) war<br>競争 (きょうそう) competition; race		
hO7Eba69w}	交	コウ	か・わす、まじ・える、まじ・わる、ま・ざる、ま・じる、ま・ぜる	association; coming & going; mixing	交換 (こうかん) exchange; substitution<br>交際 (こうさい) company; friendship<br>外交 (がいこう) diplomacy<br>交通 (こうつう) traffic; transportation; communication<br>交差点 (こうさてん) crossing; intersection		
O2^qP?cAF4	他	タ	ほか	another; other; the others	他人 (たにん) another person; others<br>他社 (たしゃ) another company<br>他 (ほか) other (place, thing, person)		
FL.o7KTtb(	付	フ	つ・く、つ・ける	adhere; append; attach; refer to	付き合い (つきあい) association; socializing<br>味付け (あじつけ) flavoring, seasoning<br>寄付 (きふ) donation<br>受付 (うけつけ) reception; information desk<br>片付ける (かたづける) to tidy up; to put away		
rqgY{8$2Hu	伝	デン	つた・う、つた・える、つた・わる	communicate; report; follow; tradition	伝統 (でんとう) tradition; convention<br>手伝い (てつだい) help<br>伝える (つたえる) to convey; to report; to tell<br>手伝う (てつだう) to help; to assist		
"egyr~#F2B{"	位	イ	くらい	rank; grade; about; some; crown;  throne	位置 (いち) place; position<br>単位 (たんい) unit; denomination<br>地位 (ちい) position; status<br>位 (くらい) about		
LH!`e7ICR%	係	ケイ	かかり、かか・る	concern oneself; connection; duty; person in charge	人間関係 (にんげんかんけい) human relations<br>係 (かかり) person in charge; clerk<br>信頼関係 (しんらいかんけい) trusting relationship<br>関係 (かんけい) relationship; connection		
j_w-Xn`i9b	信	シン		trust; to entrust; truth; faith; fidelity	信じる (しんじる) to believe; to place trust in信号 (しんごう) traffic signal<br>信念 (しんねん) belief; faith<br>信用 (しんよう) confidence; trust<br>信頼 (しんらい) reliance; confidence		
fmzY}T=$pa	側	ソク	がわ	side; lean; oppose; regret	右側 (みぎがわ) right side<br>左側 (ひだりがわ) left side<br>側 (そば) beside; proximity; besides		
K{F7h}+t+C	全	ゼン	すべ・て、まった・く	all; entire; fulfill; whole	全体 (ぜんたい) whole; entirety<br>全員 (ぜんいん) all members; everyone<br>全国 (ぜんこく) nationwide<br>安全 (あんぜん) safety; security<br>全部 (ぜんぶ) all; entire; whole		
A[Y6hP;H<:	内	ダイ、ナイ	うち	inside; within; house; home; among; between	内容 (ないよう) contents; substance; details<br>以内 (いない) within; up to; less than<br>家内 (かない) (hum) wife | one's family<br>案内 (あんない) guidance; showing around		
d[:,EE~%TM	冷	レイ	さ・ます、さ・める、つめ・たい、ひ・える、ひ・や、ひ・やかす、ひ・やす	chill; cold (to the touch); cool	冷凍庫 (れいとうこ) freezer<br>冷静 (れいせい) calmness; composure<br>冷える (ひえる) to cool down; to get cold<br>冷房 (れいぼう) cooling; air-conditioner<br>冷蔵庫 (れいぞうこ) refrigerator		
u+$f~}U@$U	初	ショ	はじ・め、はじ・めて、はつ	beginning; first time	初心者 (しょしんしゃ) beginner<br>最初 (さいしょ) beginning; first<br>初めて (はじめて) for the first time<br>初めに (はじめに) first; at the beginning		
wA^Vn:yF/>	利	リ	き・く	advantage; benefit; profit	不利 (ふり) disadvantage; handicap<br>利口 (りこう) clever; shrewd; well-behaved (of kids, animals, etc)<br>利益 (りえき) profit; gains<br>有利 (ゆうり) advantageous; profitable<br>権利 (けんり) right; privilege<br>便利 (べんり) convenient; handy; useful		
Dv2Tf8[:8!	加	カ	くわ・える、くわ・わる	add; addition; Canada; include; increase; join	加える (くわえる) to add; to include<br>加わる (くわわる) to be added to<br>加減 (かげん) adjustment; add and subtract<br>参加 (さんか) participation<br>参加者 (さんかしゃ) participant<br>増加 (ぞうか) increase; growth		
B!E{1V^rSa	助	ジョ	すけ、たす・かる、たす・ける	assist; help; rescue	助ける (たすける) to save; to rescue; to aid<br>助手 (じょしゅ) assistant; helper<br>援助 (えんじょ) aid; support<br>救助 (きゅうじょ) relief; aid		
L|4ftrM9}F	労	ロウ		labor; reward for; thank for; toil; trouble	労働 (ろうどう) labor; work<br>苦労 (くろう) hardship; labour; toil		
en-+_L($aZ	勝	ショウ	か・つ、まさ・る	excel; prevail; victory; win	優勝 (ゆうしょう) overall victory; championship<br>勝ち (かち) victory<br>勝手 (かって) one's own convenience<br>勝手に (かってに) selfishly, of one's own convenience		
C7>H>J%!tW	化	カ、ケ	ば・かす、ば・ける	-ization; change; influence; take the form of	化学 (かがく) chemistry<br>化粧 (けしょう) makeup; cosmetics<br>化粧品 (けしょうひん) cosmetics<br>変化 (へんか) change; transformation<br>文化 (ぶんか) culture		
cW+k/4)sL^	単	タン		merely; one; simple; single	単なる (たんなる) mere; simple<br>単に (たんに) simply; merely<br>単位 (たんい) unit; denomination<br>単純 (たんじゅん) simple; plain<br>単語 (たんご) word; vocabulary<br>簡単 (かんたん) simple		
"v`y#F/YCdp"	原	ゲン	はら	field; meadow; plain; original; primitive	原 (はら) field; plain<br>原因 (げんいん) cause		
gYlh+j)-q`	参	サン	まい・る	come; go; visit; participate; to intersect; be appened to	参加 (さんか) participation<br>参加者 (さんかしゃ) participant<br>参考 (さんこう) reference<br>参考になる (さんこうになる) to be of use (as a reference)<br>参る (まいる) (hum) to go; to come; to call		
Cac<ZwT:7e	反	タン、ハン、ホン	そ・らす、そ・る	anti-	反抗 (はんこう) opposition; resistance<br>違反 (いはん) violation; offense<br>反対 (はんたい) reverse; opposite | to object to; to oppose		
uW*M@b)^ro	取	シュ	と・る	fetch; take	取り上げる (とりあげる) to pick up; to adopt; to accept | to confiscate<br>取り直す (とりなおす) to re-obtain<br>取引先 (とりひきさき) customer; client<br>受け取る (うけとる) to accept; to receive<br>取り替える (とりかえる) to exchange; to replace		
KsD>5dNUzU	受	ジュ	う・かる、う・ける	accept; receive; answer; catch	受かる (うかる) to pass (examination)<br>受け取る (うけとる) to accept; to receive<br>受ける (うける) to take (a test); to receive<br>受付 (うけつけ) reception; information desk		
"OOkivOE#[M"	号	ゴウ		yell; call; name; nickname; number	信号 (しんごう) traffic signal<br>番号 (ばんごう) number		
uRXJv4eo7L	向	コウ	む・かう、む・く、む・ける、む・こう	peel; face; tend toward; confront	傾向 (けいこう) tendency; inclination<br>向かい (むかい) facing; across the street<br>方向 (ほうこう) direction; orientation<br>向う (むかう) to face; to go towards<br>向こう (むこう) opposite side; other side; opposite direction		
B`B$TB.n+)	君	クン	きみ	you; male name suffix; ruler	君 (きみ) you<br>～君 (～くん) Mr. ～ (used for someone of equal or lesser status)		
rl&]T+VZ?h	告	コク	つ・げる	announce; inform; revelation; tell	報告 (ほうこく) report; information<br>報告書 (ほうこくしょ) (written) report<br>広告 (こうこく) advertisement<br>警告 (けいこく) warning; disclaimer		
