#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
z4WqVpVXn8	相次いで	相[あい] 次[つ]いで	one after the other		0107
"wK#U7PDNb2"	～相手	～ 相[あい] 手[て]	～ partner		0055
b!pJF>5~5*	アイデア	アイデア	idea		0112
ltKh(iB%pw	あいにく	あいにく	unfortunately		0137
k]?x*o_aT1	あいまい	あいまい	vague, unclear		0107
MT6<9I8;y,	遭う	遭[あ]う	to encounter		0058
bjQ6QRbm|A	～合う	～ 合[あ]う	～ with [to, at] each other		0160
yu8l6in^sV	青白い	青[あお] 白[じろ]い	pale		0022
OsxcA*VE@G	赤字	赤[あか] 字[じ]	deficit, loss		0062
A>Q:WNw;P9	あがる	あがる	to get nervous		0113
D3f7qq3Uv}	～上がる	～ 上[あ]がる	to be completed, to go up		0019 0023 0160
LcPdP0Q4%S	飽きっぽい	飽[あ]きっぽい	soon get tired of		0006 0007
xaeBibwzki	あきらめる	あきらめる	to give up		0042 0118
IrA$=C0@>S	飽きる	飽[あ]きる	to get tired of, to get sick of		0006 0118
mpx0E%/2c.	あきれる	あきれる	to be dumbfounded [astounded]		0118
hVeB:]?b=s	悪～	悪[あく]～	bad ～		0167
o3Hl[MsgAs	握手	握[あく] 手[しゅ]	handshake		0002
OI1$Md=$AM	あくび	あくび	yawn		0022
bk-Hwpek<`	あくまで	あくまで	to the last, persistently		0137
D3$;1nytH4	～明け	～ 明[あ]け	beginning of, after		0161
I>`>/H!gt,	明け方	明[あ]け 方[がた]	dawn		0082
"OQdP#}v4`h"	明ける	明[あ]ける	to end, to break		0034
bO*ZvIWM[9	揚げる	揚[あ]げる	to fry		0018
L?2>G%=hGg	～上げる	～ 上[あ]げる	(indicates upward movement)		0035 0051
IPNZAkjH(h	あこがれる	あこがれる	to long for		0010 0118
M6hAPJc7DN	味付け	味[あじ] 付[つ]け	seasoning		0014
"m)+b#@rw9n"	味わう	味[あじ]わう	to taste		0014
DgOM>Ap2B[	足を延ばす	足[あし]を 延[の]ばす	to extend one's visit		0154
AOV?9W,Xd*	足を運ぶ	足[あし]を 運[はこ]ぶ	to pay a visit		0154
G4@Sr,r}T}	足を引っ張る	足[あし]を 引[ひ]っ 張[ぱ]る	to hold back, to cause trouble		0154
F~md^o5_36	預ける	預[あず]ける	to entrust, to leave with		0054
x!$ETk=yMj	汗	汗[あせ]	sweat		0034
h/V29D|YMe	遊び回る	遊[あそ]び 回[まわ]る	to play around		0160
zUrYIQ2q<h	与える	与[あた]える	to give		0082
"L_y=%:[#@["	あたかも	あたかも	as if		0131
Dk~?;.ac<G	温かみ	温[あたた]かみ	warmth		0179
lV46A.]}G5	温まる	温[あたた]まる	to warm up (vi.)		0178
t*(=z@mVHP	暖まる	暖[あたた]まる	to warm up (vi.)		0178
JR9y*?b)>E	温め直す	温[あたた]め 直[なお]す	to reheat		0160
e3FHgHP&[m	温める	温[あたた]める	to heat [warm] up (vt.)		0178
"q-aTHx.#:3"	暖める	暖[あたた]める	to heat [warm up] (vt.)		0178
PiP[tWiG[+	頭が上がらない	頭[あたま]が 上[あ]がらない	to be no match for		0148
"y|~ryKL|#d"	頭が痛い	頭[あたま]が 痛[いた]い	gives someone a headache		0148
hvhVSHTc@`	頭が固い	頭[あたま]が 固[かた]い	obstinate, stubborn		0148
v$.[imDN%^	頭に来る	頭[あたま]に 来[く]る	to get mad		0113 0148
wL8yXcP[tC	頭を下げる	頭[あたま]を 下[さ]げる	to bow one's head		0148
c:ez[H?8$s	頭を冷やす	頭[あたま]を 冷[ひ]やす	to cool down		0113 0148
E[S<2>Q}OL	～扱い	～ 扱[あつか]い	treated like a ～		0161
z^w{;~M=^,	厚かましい	厚[あつ]かましい	shameless		0006 0107 0118
ol+t^U@;mu	集まり	集[あつ]まり	gathering		0002
mpI3^.x1QF	厚み	厚[あつ]み	thickness		0179
ma@}c};!?w	あて～	あて～	apply ～ to, adapt to ～		0161
xY505-N0Iy	あてはまる	あてはまる	to fit, to apply to		0042 0161
|1qXwBT.L	あてはめる	あてはめる	to apply to		0161
