#separator:tab
#html:true
#guid column:1
#tags column:7
N-]=^bVZrC	ぼうえき	trade	貿易		[sound:36893068_161130_2247_35.mp3]	
MO6jGDU$c[	ほうりつ	law	法律		[sound:36893069_161130_2249_03.mp3]	
"c#+RNakb^L"	けいざい	finance, economy	経済		[sound:36893070_161130_2250_02.mp3]	
pV>ePUuQy]	こうぎょう	the manufacturing industry	工業		[sound:36893071_161130_2250_36.mp3]	
quf=Cz6Fyl	きそく	regulations	規則		[sound:36893072_161130_2251_07.mp3]	
o<i?kJ[ZVA	さんぎょう	industry	産業		[sound:36893073_161130_2251_38.mp3]	
zDs-9bZ786	ねだん	price	値段		[sound:36893074_161130_2252_29.mp3]	
Pv2]%;/u:2	せいじ	politics, government	政治		[sound:36893075_161130_2252_59.mp3]	
tcFQP;)i9X	せいよう	western countries	西洋		[sound:36893076_161130_2253_25.mp3]	
mA0TZ)(lmR	せんそう	war	戦争		[sound:36893077_161130_2253_45.mp3]	
yR2Vi{5K`w	こくさい	international	国際		[sound:36893078_161130_2254_09.mp3]	
Pi*4=1|nG?	あおい	blue	青い		[sound:32111215050428_220235_baa8a.mp3]	
dsxU*z(*bY	あかい	red	赤い		[sound:32111215045951_220237_4ef08.mp3]	
|>2LXyf5U	あかるい	light, bright	明るい		[sound:36927432_161130_2255_39.mp3]	
hL*ntiOqul	あたたかい	warm	温かい・暖かい		[sound:36927434_161130_2256_05.mp3]	
d>{7%R$*(4	あたらしい	new	新しい		[sound:32111215044546_220251_0e704.mp3]	
Aw}%szOj.h	あつい	hot (air)	暑い		[sound:36927436_161130_2256_29.mp3]	
ycgmCHWa+h	あつい	thick (objects, not people)	厚い		[sound:32111215045413_220254_3011c.mp3][sound:32111215044546_220255_febe6.mp3][sound:32111215044721_220253_3cef4.mp3]	
bFHwzl8/H@	あぶない	dangerous (i-adj)	危ない		[sound:32111215044543_220265_62ef1.mp3]	
IZ|Q`<T~m&	あまい	sweet	甘い		[sound:32111215045835_220266_828b1.mp3]	
x@I5ju]Ma4	よい / いい	good	良い		[sound:36927441_161130_2257_23.mp3][sound:36927441_161130_2257_03.mp3]	
IMp*`A?mWx	いそがしい	busy	忙しい		[sound:36927442_161130_2257_49.mp3]	
"M90}?2#3r2"	いたい	painful	痛い		[sound:36927443_161130_2258_07.mp3]	
"N]9MoL#v}x"	うすい	thin (objects, not people)	薄い		[sound:36927444_161130_2259_09.mp3]	
Rg:5MPQ^P0	おいしい	tasty, delicious	美味しい		[sound:36927445_161130_2259_44.mp3]	
lI,t<sFW3O	おおきい	big	大きい		[sound:32111215045604_220329_6c63f.mp3]	
A{M={Gahac	おそい	late, slow	遅い		[sound:36927447_161130_2300_09.mp3]	
O+$Epn[%jY	おもい	heavy	重い		[sound:330522000120310203407.mp3][sound:32111215045701_220368_9ac65.mp3]	
P{g8A^fUZ|	おもしろい	interesting, funny	面白い		[sound:36927449_161130_2300_33.mp3]	
hW~>ajsjdI	からい	hot, spicy	辛い		[sound:36927450_161130_2300_53.mp3]	
v,6y@hL~Wm	かるい	light (weight, not heavy)	軽い		[sound:36927451_161130_2301_08.mp3]	
ofJcGZ+:Q{	いと	thread	糸		[sound:36932476_161130_2302_23.mp3]	
KpKEzgc)^a	いし	stone	石		[sound:36932477_161130_2302_49.mp3]	
u2C!Vc&qNN	うけつけ	reception desk, information desk	受付		[sound:36932478_161130_2303_07.mp3]	
i]I61Qnn[f	えだ	branch, twig	枝		[sound:36932479_161130_2303_30.mp3]	
rbciJ$>T)K	おくじょう	rooftop	屋上		[sound:36932480_161130_2303_56.mp3]	
"HnSee}AV#5"	おくりもの	gift	贈り物		[sound:36932481_161130_2304_12.mp3]	
f0ub2]pXb>	おしいれ	closet	押し入れ		[sound:36932482_161130_2304_35.mp3]	
lmVHJl)y!d	おみやげ	souvenir	お土産		[sound:36932483_161130_2304_52.mp3]	
sTCQs4(aks	おもちゃ	toy	玩具		[sound:36932484_161130_2306_07.mp3]	
df61ch8C?e	かがみ	mirror	鏡		[sound:330522000120310205427.mp3]	
B{zUhFsO_~	かべ	wall	壁		[sound:36932486_161130_2306_29.mp3]	
w>H*,4<<ZS	きぬ	silk	絹		[sound:36932487_161130_2306_50.mp3]	
lfTEqo:C|T	くさ	grass	草		[sound:36932488_161130_2307_11.mp3]	
B!++@?Sw8/	くも	cloud	雲		[sound:36932489_161130_2307_41.mp3]	
uk$rGAVA5-	けしゴム	eraser	消しゴム		[sound:36932490_161130_2307_58.mp3]	
fdlRj4wvJr	はやし	woods (smaller than forest)	林		[sound:37897223_161130_2308_21.mp3]	
r[G;fpZj8^	もり	forest (larger than woods)	森		[sound:37897224_161130_2308_57.mp3]	
s?(uNYiea?	おんがく	music	音楽		[sound:32111215044633_220373_85290.mp3]	
GN}2%eA:t.	かしゅ	singer	歌手		[sound:37897226_161130_2309_20.mp3]	
w9OK&N(X5o	おてあらい	washroom, toilets	お手洗い		[sound:37897227_161130_2309_44.mp3]	
v/~h:k0^-D	あく	to open, to become empty	空く		[sound:36953073_161130_2311_04.mp3]	
ycBjDSOZfM	えらぶ	to choose	選ぶ		[sound:36953074_161130_2311_07.mp3]	
ndIzd44v*C	おもいだす	to remember, to recall (not おぼえる)	思い出す		[sound:36953075_161130_2311_58.mp3]	
"NR`k{)g#dj"	かえる	to change	変える		[sound:36953076_161130_2312_20.mp3]	
x!-GDqlWTW	こむ	to be crowded	込む		[sound:36953077_161130_2312_40.mp3]	
O6qw!hOhc|	さがる	to get down, to descend	下る		[sound:36953078_161201_0327_22.mp3]	
A$4DZCqU);	あがる	to rise	上る		[sound:36953079_161130_2313_17.mp3]	
rn@9^|x*bp	すべる	to slide, to slip	滑る		[sound:36953080_161130_2313_42.mp3]	
H$W.Rr54Ls	たてる	to stand something up	立てる		[sound:36953081_161130_2314_07.mp3]	
r%d^>XB9A|	たてる	to build	建てる		[sound:36953082_161130_2314_30.mp3]	
c.agstB1i=	とまる	to lodge at	泊まる		[sound:36953083_161130_2314_48.mp3]	
k$AMJRO4d~	とめる	to stop something	止める		[sound:36953084_161130_2315_07.mp3]	
Ly;xj{sm7<	なおる	to be cured, to heal	治る		[sound:36953085_161130_2315_30.mp3]	
cEx!;)CW/m	なくなる	to pass away, die (しぬ)	亡くなる		[sound:36953086_161130_2316_00.mp3]	
kzQVViRjXM	なれる	to grow accustomed to	慣れる		[sound:36953087_161130_2316_23.mp3]	
m&W38cZ^pj	いなか	countryside	田舎		[sound:36929280_161201_0229_27.mp3]	
u3Z1kN_pOb	うりば	place where things are sold	売り場		[sound:36929281_161201_0229_45.mp3]	
DF1p2s7~TM	おたく	(polite) your house	お宅		[sound:36929282_161201_0230_20.mp3]	
e080cTx8+_	おまつり	festival	お祭り;祭り		[sound:36929283_161201_0230_43.mp3]	
Hk3Z]{HLo6	かいがん	coast	海岸		[sound:36929284_161201_0257_28.mp3]	
bC%fA=[aS~	かいぎしつ	meeting room	会議室		[sound:36929285_161201_0257_47.mp3]	
"B{8F-U:AD#"	かいじょう	assembly hall or meeting place	会場		[sound:36929286_161201_0258_04.mp3]	
"m.#8@/EK~_"	きょうかい	church	教会		[sound:36929287_161201_0258_28.mp3]	
mZXT3QSjh+	きんじょ	neighbourhood	近所		[sound:36929288_161201_0258_45.mp3]	
j8dTGq)3=I	くうこう	airport	空港		[sound:36929289_161201_0259_24.mp3]	
izR)r09NcM	げしゅく	lodging	下宿		[sound:36929290_161201_0259_42.mp3]	
su9b%qCDvn	こうがい	outskirts	郊外		[sound:36929291_161201_0259_58.mp3]	
md$St8%`ls	じゅうしょ	an address, a residence	住所		[sound:36929292_161201_0300_18.mp3]	
OblSe4!=?]	こうどう	auditorium	講堂		[sound:330522000120308123512.mp3]	
E=a4PPla8	さか	slope, hill	坂		[sound:36929294_161201_0300_33.mp3]	
e},u9DA~Jx	し	city	市		[sound:36929295_161201_0302_31.mp3]	
uXW;SQ69,|	それで	because of that	其れで		[sound:36955652_161201_1528_06.mp3]	
iGdm7h[q`4	それに	moreover			[sound:36955653_161201_1528_25.mp3]	
mQrLk^V%%L	それほど	to that extent			[sound:36955654_161201_1528_58.mp3]	
"f]I#m`1*ma"	すると	thereupon, hereupon, then			[sound:36955656_161201_1529_16.mp3]	
xptm@c!ds`	そんなに	so much, like that			[sound:36955657_161201_1529_39.mp3]	
"Nb#h0,z&}c"	たまに	occasionally	偶に		[sound:36955658_161201_1530_03.mp3]	
bOiRBj(,-k	だいたい	generally	大体		[sound:36955659_161201_1530_59.mp3]	
HE&UWHqBrm	たいてい	usually			[sound:36955660_161201_1531_16.mp3]	
P?t+H^yx*u	かならず	certainly, necessarily	必ず		[sound:36955661_161201_1531_47.mp3]	
zg-o,.UJ:r	きっと	surely	屹度		[sound:36955662_161201_1532_14.mp3]	
"IZdEo[_#rV"	けっして	never	決して		[sound:36955663_161201_1532_44.mp3]	
w@q?4BYm|	けれど	however			[sound:36955664_161201_1535_12.mp3][sound:36955664_161201_1534_49.mp3]	
